sentiment,text
pos,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .
neg,it's not difficult to spot the culprit early-on in this predictable thriller .
neg,"a lackluster , unessential sequel to the classic disney adaptation of j . m . barrie's peter pan ."
pos,tsai convincingly paints a specifically urban sense of disassociation here .
neg,"lucas has in fact come closer than anyone could desire to the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s ."
pos,"it's an exhilarating place to visit , this laboratory of laughter ."
pos,"i have no way of knowing exactly how much is exaggeration , but i've got a creepy feeling that the film is closer to the mark than i want to believe ."
pos,"fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it is worth searching out ."
pos,a well-made and often lovely depiction of the mysteries of friendship .
neg,"gooding and coburn are both oscar winners , a fact which , as you watch them clumsily mugging their way through snow dogs , seems inconceivable ."
neg,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment ."
neg,"according to wendigo , 'nature' loves the members of the upper class almost as much as they love themselves ."
neg,"britney's performance cannot be faulted . lucy's a dull girl , that's all ."
pos,"like a tarantino movie with heart , alias betty is richly detailed , deftly executed and utterly absorbing ."
neg,"the cameo-packed , m : i-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise . . . then mike myers shows up and ruins everything ."
neg,a big meal of cliches that the talented cast generally chokes on .
pos,imagine o . henry's <b>the gift of the magi</b> relocated to the scuzzy underbelly of nyc's drug scene . merry friggin' christmas !
neg,"directors harry gantz and joe gantz have chosen a fascinating subject matter , but the couples exposing themselves aren't all that interesting ."
neg,"one long , numbing action sequence made up mostly of routine stuff yuen has given us before ."
neg,a sometimes tedious film .
pos,"an awfully good , achingly human picture ."
neg,serving sara doesn't serve up a whole lot of laughs .
pos,almost peerlessly unsettling .
pos,strange and beautiful film .
neg,this thing is just garbage .
neg,fails to convince the audience that these brats will ever be anything more than losers .
neg,equal parts bodice-ripper and plodding costume drama .
neg,"the film is grossly contradictory in conveying its social message , if indeed there is one ."
pos,"how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not ."
neg,it's too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience .
neg,"it's unfortunate that wallace , who wrote gibson's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue ."
pos,"while guzmán frustratingly refuses to give pinochet's crimes a political context , his distance from the material is mostly admirable ."
pos,seldom has a movie so closely matched the spirit of a man and his work .
pos,there's no clear picture of who killed bob crane . but here's a glimpse at his life .
pos,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !"
neg,"90 punitive minutes of eardrum-dicing gunplay , screeching-metal smashups , and flaccid odd-couple sniping ."
neg,"howard and his co-stars all give committed performances , but they're often undone by howard's self-conscious attempts to find a 'literary' filmmaking style to match his subject ."
neg,don't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .
pos,"it's plotless , shapeless -- and yet , it must be admitted , not entirely humorless . indeed , the more outrageous bits achieve a shock-you-into-laughter intensity of almost dadaist proportions ."
pos,exposing the ways we fool ourselves is one hour photo's real strength .
pos,a winning comedy with its wry observations about long-lived friendships and the ways in which we all lose track of ourselves by trying to please others .
neg,friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans .
pos,"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant ."
neg,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .
pos,a terrifically entertaining specimen of spielbergian sci-fi .
pos,takashi miike keeps pushing the envelope : ichi the kille
pos,a truly wonderful tale combined with stunning animation .
pos,"filled with alexandre desplat's haunting and sublime music , the movie completely transfixes the audience ."
pos,"it's the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming ."
pos,"baran isn't the most transporting or gripping film from iran -- or , indeed , by its director -- but it's a worthy companion to the many fine , focused films emerging from that most surprising of nations ."
pos,meyjes' provocative film might be called an example of the haphazardness of evil .
neg,"the misery of these people becomes just another voyeuristic spectacle , to be consumed and forgotten ."
pos,"to honestly address the flaws inherent in how medical aid is made available to american workers , a more balanced or fair portrayal of both sides will be needed ."
pos,"bittersweet comedy/drama full of life , hand gestures , and some really adorable italian guys ."
neg,'dragonfly' is a movie about a bus wreck that turns into a film wreck .
pos,a fleet-footed and pleasingly upbeat family diversion .
pos,lawrence plumbs personal tragedy and also the human comedy .
pos," "" the emperor's new clothes "" begins with a simple plan . . . . well , at least that's the plan ."
pos,"the film is about the relationships rather than about the outcome . and it sees those relationships , including that between the son and his wife , and the wife and the father , and between the two brothers , with incredible subtlety and acumen ."
neg,thin period piece .
neg,"rambles on in a disjointed , substandard fashion from one poorly executed action sequence to the next ."
pos,it's a great american adventure and a wonderful film to bring to imax .
neg,"a disappointment for those who love alternate versions of the bard , particularly ones that involve deep fryers and hamburgers ."
pos, . . . the plot weaves us into a complex web .
neg,"the film is weighed down by supporting characters who are either too goodly , wise and knowing or downright comically evil ."
neg,a cheerful enough but imminently forgettable rip-off of [besson's] earlier work .
neg,draggin' about dragon
neg,this 90-minute dud could pass for mike tyson's e ! true hollywood story .
pos,"my big fat greek wedding is not only the best date movie of the year , it's also a -- dare i say it twice -- delightfully charming -- and totally american , i might add -- slice of comedic bliss ."
neg," . . . generically , forgettably pleasant from start to finish ."
neg,yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a can't-miss heist -- only to have it all go wrong .
neg,most of the film feels conceived and shot on the fly -- like between lunch breaks for shearer's radio show and his simpson voice-overs .
pos,"a brutal and funny work . nicole holofcenter , the insightful writer/director responsible for this illuminating comedy doesn't wrap the proceedings up neatly but the ideas tie together beautifully ."
neg,to show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .
neg,the script isn't very good ; not even someone as gifted as hoffman ( the actor ) can make it work .
neg,a noble failure .
pos,"it's a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety ."
neg,fancy a real downer ? [leigh] lays it on so thick this time that it feels like a suicide race .
pos,"'the film is stark , straightforward and deadly . . . an unnatural calm that's occasionally shaken by . . . blasts of rage , and later , violent jealousy . "
pos,"it is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story ."
pos,"it's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ."
neg,"there's no emotional pulse to solaris . with an emotional sterility to match its outer space setting , soderbergh's spectacular swing for the fence yields only a spectacular whiff ."
neg,i hate the feeling of having been slimed in the name of high art .
neg,"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it's being ."
neg,"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be ."
neg,"the kids in the audience at the preview screening seemed bored , cheering the pratfalls but little else ; their parents , wise folks that they are , read books ."
pos,"a much better documentary -- more revealing , more emotional and more surprising -- than its pedestrian english title would have you believe ."
neg,the enormous comic potential of an oafish idiot impersonating an aristocrat remains sadly unrealized .
pos,"infidelity drama is nicely shot , well-edited and features a standout performance by diane lane ."
pos,a flick about our infantilized culture that isn't entirely infantile .
pos,"what makes how i killed my father compelling , besides its terrific performances , is fontaine's willingness to wander into the dark areas of parent-child relationships without flinching ."
neg,glizty but formulaic and silly . . . cagney's 'top of the world' has been replaced by the bottom of the barrel .
neg,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .
neg,"not the great american comedy , but if you liked the previous movies in the series , you'll have a good time with this one too ."
neg,its save-the-planet message clashes with its crass marketing .
neg,"the film seems a dead weight . the lack of pace kills it , although , in a movie about cancer , this might be apt ."
neg,if i spy were funny ( enough ) or exciting ( enough ) then it would be fairly simple to forgive the financial extortion it's trying to reap from the moviegoing public .
neg,i'll bet the video game is a lot more fun than the film .
pos,haneke challenges us to confront the reality of sexual aberration .
pos,it's a rare window on an artistic collaboration .
pos,"compulsively watchable , no matter how degraded things get ."
pos,"expands the limits of what a film can be , taking us into the lives of women to whom we might not give a second look if we passed them on the street ."
neg,"because the intelligence level of the characters must be low , very low , very very low , for the masquerade to work , the movie contains no wit , only labored gags ."
pos,"you won't believe much of it , but you will laugh at the audacity , at the who's who casting and the sheer insanity of it all ."
neg,about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .
pos,"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future ."
pos,like a less dizzily gorgeous companion to mr . wong's in the mood for love -- very much a hong kong movie despite its mainland setting .
pos,"brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life ."
neg,"a nearly 21/2 hours , the film is way too indulgent ."
neg,been there done that .
pos,"as action-adventure , this space-based homage to robert louis stevenson's treasure island fires on all plasma conduits ."
neg,"theology aside , why put someone who ultimately doesn't learn at the center of a kids' story ?"
neg,"the doofus-on- the-loose banter of welcome to collinwood has a cocky , after-hours loopiness to it . and as with most late-night bull sessions , eventually the content isn't nearly as captivating as the rowdy participants think it is ."
neg,"scene-by-scene , things happen , but you'd be hard-pressed to say what or why ."
pos,"efficient , suitably anonymous chiller ."
pos,robin williams has thankfully ditched the saccharine sentimentality of bicentennial man in favour of an altogether darker side .
pos,"that dogged good will of the parents and 'vain' jia's defoliation of ego , make the film touching despite some doldrums ."
neg,meandering and confusing .
neg,"not that any of us should be complaining when a film clocks in around 90 minutes these days , but the plotting here leaves a lot to be desired ."
pos,"light , silly , photographed with colour and depth , and rather a good time ."
pos,"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are ."
pos,[a] rare movie that makes us re-assess the basis for our lives and evaluate what is truly ours in a world of meaningless activity .
neg,this is an action movie with an action icon who's been all but decommissioned .
neg,"the images are usually abbreviated in favor of mushy obviousness and telegraphed pathos , particularly where whitaker's misfit artist is concerned ."
neg,"if there was ever a movie where the upbeat ending feels like a copout , this is the one ."
pos,a backstage must-see for true fans of comedy .
pos,"all in all , brown sugar is a satisfying well-made romantic comedy that's both charming and well acted . it will guarantee to have you leaving the theater with a smile on your face ."
neg,schneider's mugging is relentless and his constant need to suddenly transpose himself into another character undermines the story's continuity and progression .
pos,leigh's film is full of memorable performances from top to bottom .
pos,"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending ."
pos,here is a vh1 behind the music special that has something a little more special behind it : music that didn't sell many records but helped change a nation .
neg,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter ."
neg,"the makers of divine secrets of the ya-ya sisterhood should offer a free ticket ( second prize , of course , two free tickets ) to anyone who can locate a genuinely honest moment in their movie ."
pos,"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form ."
neg,gooding offers a desperately ingratiating performance .
pos,chouraqui brings documentary-like credibility to the horrors of the killing field and the barbarism of 'ethnic cleansing . 
neg,none of the characters or plot-lines are fleshed-out enough to build any interest .
neg,[sen's] soap opera-ish approach undermines his good intentions .
neg,"naipaul fans may be disappointed . those who are not acquainted with the author's work , on the other hand , may fall fast asleep ."
neg,"carrying this wafer-thin movie on his nimble shoulders , chan wades through putrid writing , direction and timing with a smile that says , 'if i stay positive , maybe i can channel one of my greatest pictures , drunken master . "
pos,windtalkers celebrates the human spirit and packs an emotional wallop .
neg,this overproduced piece of dreck is shockingly bad and absolutely unnecessary . hmmm might i suggest that the wayward wooden one end it all by stuffing himself into an electric pencil sharpener ?
neg,"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death ."
neg,"by the time the plot grinds itself out in increasingly incoherent fashion , you might be wishing for a watch that makes time go faster rather than the other way around ."
pos,"a worthwhile documentary , whether you're into rap or not , even if it may still leave you wanting more answers as the credits roll ."
neg,"as a kind of colorful , dramatized pbs program , frida gets the job done . but , for that , why not watch a documentary ?"
pos,fans of the animated wildlife adventure show will be in warthog heaven ; others need not necessarily apply .
neg,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroin"
neg,"no movement , no yuks , not much of anything ."
pos,more good than great but freeman and judd make it work .
neg,"it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness ."
neg,one can only assume that the jury who bestowed star hoffman's brother gordy with the waldo salt screenwriting award at 2002's sundance festival were honoring an attempt to do something different over actually pulling it of
pos,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both ."
neg,directed in a paint-by-numbers manner .
pos,"not so much a movie as a picture book for the big screen . this isn't my favorite in the series , still i enjoyed it enough to recommend ."
neg,it would work much better as a one-hour tv documentary .
neg,wishy-washy .
pos,quite funny for the type of movie it is . . .
pos,presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it .
pos,travels a fascinating arc from hope and euphoria to reality and disillusionment .
pos,"if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force ."
pos,sexy and romantic .
neg,"weighted down with slow , uninvolving storytelling and flat acting ."
pos,a marvellous journey from childhood idealism to adolescent self-absorption .
pos," "" me without you "" is a probing examination of a female friendship set against a few dynamic decades ."
pos,"a bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker's period pieces , is still very much worth seeing ."
pos,"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor ."
neg," . . . plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments ."
pos,"not too fancy , not too filling , not too fluffy , but definitely tasty and sweet ."
neg,"watching harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but boyd's film offers little else of consequence ."
neg,"for the most part , i spy was an amusing lark that will probably rank as one of murphy's better performances in one of his lesser-praised movies ."
neg,this tuxedo . . . should have been sent back to the tailor for some major alterations .
pos,"provides a porthole into that noble , trembling incoherence that defines us all ."
neg,"as earnest as a community-college advertisement , american chai is enough to make you put away the guitar , sell the amp , and apply to medical school ."
neg,"ken russell would love this . in one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino's climactic shootout  and meat loaf explodes ."
neg,"this cloying , voices-from-the-other-side story is hell ."
pos,perhaps the best sports movie i've ever seen .
pos,spiderman rock
pos,a captivating new film .
neg,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma ."
neg,a slow-moving police-procedural thriller that takes its title all too literally .
neg,dripping with cliche and bypassing no opportunity to trivialize the material .
neg,"feel bad for king , who's honestly trying , and schwartzman , who's shot himself in the foot ."
neg,"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them ."
pos,kids should have a stirring time at this beautifully drawn movie . and adults will at least have a dream image of the west to savor whenever the film's lamer instincts are in the saddle .
pos,his work transcends the boy-meets-girl posturing of typical love stories .
neg,"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise ."
pos,"a whole lot of fun and funny in the middle , though somewhat less hard-hitting at the start and finish ."
neg,there is only so much baked cardboard i need to chew .
pos,"williams creates a stunning , taxi driver-esque portrayal of a man teetering on the edge of sanity ."
neg,"pure of intention and passably diverting , his secret life is light , innocuous and unremarkable ."
neg,lurid and less than lucid work .
pos,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts ."
pos,much of what we see is horrible but it's also undeniably exceedingly clever .
pos,"two hours of melodramatic musical married to two hours of underdog sports intrigue , if the picture also shares the weaknesses of both genres , more's the pity ."
neg, . . . a mostly boring affair with a confusing sudden finale that's likely to irk viewers .
neg,"much like robin williams , death to smoochy has already reached its expiration date ."
pos,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture , the l . a . beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults ."
pos, . . . wise and elegiac . . .
neg,"releasing a film with the word 'dog' in its title in january lends itself to easy jokes and insults , and snow dogs deserves every single one of them ."
neg,it's sort of a 21st century morality play with a latino hip hop beat . but the second half of the movie really goes downhill .
neg,charlize chases kevin with a gun . courtney chases stuart with a cell phone . the sound of gunfire and cell phones ringing .
pos,"the film has the high-buffed gloss and high-octane jolts you expect of de palma , but what makes it transporting is that it's also one of the smartest , most pleasurable expressions of pure movie love to come from an american director in years ."
neg,"a quaint , romanticized rendering ."
neg,"great story , bad idea for a movie ."
pos,maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while .
pos,"would be an unendurable viewing experience for this ultra-provincial new yorker if 26-year-old reese witherspoon were not on hand to inject her pure fantasy character , melanie carmichael , with a massive infusion of old-fashioned hollywood magic ."
pos,"a beautiful , timeless and universal tale of heated passions -- jealousy , betrayal , forgiveness and murder ."
pos,"for all its brooding quality , ash wednesday is suspenseful and ultimately unpredictable , with a sterling ensemble cast ."
pos,"a rich tale of our times , very well told with an appropriate minimum of means ."
pos,"a memorable experience that , like many of his works , presents weighty issues colorfully wrapped up in his own idiosyncratic strain of kitschy goodwill ."
pos,"so beautifully acted and directed , it's clear that washington most certainly has a new career ahead of him if he so chooses ."
neg,"plays like one long , meandering sketch inspired by the works of john waters and todd solondz , rather than a fully developed story ."
neg,love liza is a festival film that would have been better off staying on the festival circuit .
pos,"presents a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation ."
neg,bullock's complete lack of focus and ability quickly derails the fil
pos,"despite the predictable parent vs . child coming-of-age theme , first-class , natural acting and a look at "" the real americans "" make this a charmer ."
pos,"a mostly intelligent , engrossing and psychologically resonant suspenser ."
pos,sharp edges and a deep vein of sadness run through its otherwise comic narrative .
pos,"it's not going to be everyone's bag of popcorn , but it definitely gives you something to chew on ."
neg,"hey , at least the title of this film lets you know exactly where it's heading ."
neg,"offers very little genuine romance and even fewer laughs . . . a sad sitcom of a movie , largely devoid of charm ."
pos,watstein handily directs and edits around his screenplay's sappier elements . . . and sustains off the hook's buildup with remarkable assuredness for a first-timer .
pos,"for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out ."
pos,"it proves quite compelling as an intense , brooding character study ."
neg,"further sad evidence that tom tykwer , director of the resonant and sense-spinning run lola run , has turned out to be a one-trick pony -- a maker of softheaded metaphysical claptrap ."
neg,flaunts its quirky excesses like a new year's eve drunk sporting a paper party hat .
neg,"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial ."
neg,"de niro and mcdormand give solid performances , but their screen time is sabotaged by the story's inability to create interest ."
pos,a winning and wildly fascinating work .
pos,"the reason to see "" sade "" lay with the chemistry and complex relationship between the marquis ( auteil ) and emilie ( le besco ) ."
neg,"apart from dazzling cinematography , we've seen just about everything in blue crush in one form or the other ."
pos,another trumpet blast that there may be a new mexican cinema a-bornin' .
neg,"static , repetitive , muddy and blurry , hey arnold ! would seem to have a lock on the title of ugliest movie of the year ."
neg,"reign of fire never comes close to recovering from its demented premise , but it does sustain an enjoyable level of ridiculousness ."
neg,a predictable and stereotypical little b-movie .
pos,deliciously mean-spirited and wryly observant .
neg,the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .
pos,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .
pos,definitely worth 95 minutes of your time .
pos,"if you love the music , and i do , its hard to imagine having more fun watching a documentary . . ."
neg,"cassavetes thinks he's making dog day afternoon with a cause , but all he's done is to reduce everything he touches to a shrill , didactic cartoon ."
neg,"the first question to ask about bad company is why anthony hopkins is in it . we assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low ."
neg,i'm not exactly sure what this movie thinks it is about .
pos,"this charming , thought-provoking new york fest of life and love has its rewards ."
neg,sayles . . . once again strands his superb performers in the same old story .
pos,"a powerful , chilling , and affecting study of one man's dying fall ."
neg,"the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a dull , costumey feel ."
pos,the magic of the film lies not in the mysterious spring but in the richness of its performances .
neg,the new film of anton chekhov's the cherry orchard puts the 'ick' in 'classic . 
neg,"this is for the most part a useless movie , even with a great director at the helm ."
neg,"nicolas cage isn't the first actor to lead a group of talented friends astray , and this movie won't create a ruffle in what is already an erratic career ."
pos,the movie's relatively simple plot and uncomplicated morality play well with the affable cast .
neg,generic thriller junk . teens only .
neg,"a waterlogged version of 'fatal attraction' for the teeny-bopper set . . . a sad , soggy potboiler that wastes the talents of its attractive young leads ."
pos,"the movie enters a realm where few non-porn films venture , and comes across as darkly funny , energetic , and surprisingly gentle ."
pos,"[drumline] is entertaining for what it does , and admirable for what it doesn't do ."
pos,"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way ."
pos,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply sublime ."
pos,with exquisite craftsmanship . . . olivier assayas has fashioned an absorbing look at provincial bourgeois french society .
pos,"twenty years later , e . t . is still a cinematic touchstone ."
pos,one-of-a-kind near-masterpiece .
neg,the film is flat .
neg,it has all the excitement of eating oatmeal .
pos,"the delicious trimmings arrive early and stay late , filling nearly every minute with a lighthearted glow , some impudent snickers , and a glorious dose of humankind's liberating ability to triumph over a scrooge or two ."
pos,sade is an engaging look at the controversial eponymous and fiercely atheistic hero .
neg,"myers never knows when to let a gag die ; thus , we're subjected to one mind-numbingly lengthy riff on poo and pee jokes after another ."
neg,"christians sensitive to a reductionist view of their lord as a luv-spreading dr . feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic ."
pos,the film does give a pretty good overall picture of the situation in laramie following the murder of matthew shepard .
neg,the whole affair is as predictable as can be .
neg,inconsequential road-and-buddy pic .
neg,"a strong first quarter , slightly less so second quarter , and average second half ."
pos,"[t]his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why ."
neg,"the bland outweighs the nifty , and cletis tout never becomes the clever crime comedy it thinks it is ."
neg,"for the future , one hopes mr . plympton will find room for one more member of his little band , a professional screenwriter ."
neg,the master of disguise is awful . it's pauly shore awful . don't say you weren't warned .
neg,"no one can doubt the filmmakers' motives , but the guys still feels counterproductive ."
pos,"if you're in the right b-movie frame of mind , it may just scare the pants off you ."
neg,"the only way to tolerate this insipid , brutally clueless film might be with a large dose of painkillers ."
pos,"victor rosa is leguizamo's best movie work so far , a subtle and richly internalized performance ."
pos,"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer's star trek vi : the undiscovered country ."
neg,"a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable ."
pos,this clever caper movie has twists worthy of david mamet and is enormous fun for thinking audiences .
pos,"by the time we learn that andrew's turnabout is fair play is every bit as awful as borchardt's coven , we can enjoy it anyway ."
neg,crush could be the worst film a man has made about women since valley of the dolls .
pos,spare yet audacious . . .
pos,a compelling film .
neg,"the exploitative , clumsily staged violence overshadows everything , including most of the actors ."
neg,"if disney's cinderella proved that 'a dream is a wish your heart makes , ' then cinderella ii proves that a nightmare is a wish a studio's wallet makes ."
pos,ozpetek joins the ranks of those gay filmmakers who have used the emigre experience to explore same-sex culture in ways that elude the more nationally settled .
pos,one of the funnier movies in town .
pos,"y tu mamá también is hilariously , gloriously alive , and quite often hotter than georgia asphalt ."
pos,a chilling movie without oppressive gore .
pos,"she's all-powerful , a voice for a pop-cyber culture that feeds on her bjorkness ."
neg, . . . this movie has a glossy coat of action movie excess while remaining heartless at its core .
neg,"the film's final hour , where nearly all the previous unseen material resides , is unconvincing soap opera that tornatore was right to cut ."
neg,the big ending surprise almost saves the movie . it's too bad that the rest isn't more compelling .
neg,a benign but forgettable sci-fi diversion .
pos,"it's not a classic spy-action or buddy movie , but it's entertaining enough and worth a look ."
pos,one of the best inside-show-biz yarns ever .
neg,"the movie straddles the fence between escapism and social commentary , and on both sides it falls short ."
pos,"one of the best examples of how to treat a subject , you're not fully aware is being examined , much like a photo of yourself you didn't know was being taken ."
pos,"the unique niche of self-critical , behind-the-scenes navel-gazing kaufman has carved from orleans' story and his own infinite insecurity is a work of outstanding originality ."
pos,"the year's greatest adventure , and jackson's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate ."
pos,"it's unnerving to see recoing's bizzarre reaction to his unemployment . good film , but very glum ."
pos,"after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here , it's a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen ."
pos,"though filmed partly in canada , paid in full has clever ways of capturing inner-city life during the reagan years ."
pos,"your response to its new sequel , analyze that , may hinge on what you thought of the first film ."
neg,"sadly , 'garth' hasn't progressed as nicely as 'wayne . "
pos,the casting of von sydow . . . is itself intacto's luckiest stroke .
neg,"with danilo donati's witty designs and dante spinotti's luscious cinematography , this might have made a decent children's movie -- if only benigni hadn't insisted on casting himself in the title role ."
neg,"throughout all the tumult , a question comes to mind : so why is this so boring ?"
pos,"though it's equally solipsistic in tone , the movie has enough vitality to justify the notion of creating a screen adaptation of evans' saga of hollywood excess ."
pos,"majidi's poetic love story is a ravishing consciousness-raiser , if a bit draggy at times ."
neg,"swims in mediocrity , sticking its head up for a breath of fresh air now and then ."
neg,"while serving sara does have a long way to go before it reaches the level of crudity in the latest austin powers extravaganza , there's nothing here to match that movie's intermittent moments of inspiration ."
pos,"although it bangs a very cliched drum at times , this crowd-pleaser's fresh dialogue , energetic music , and good-natured spunk are often infectious ."
neg,"there's little to recommend snow dogs , unless one considers cliched dialogue and perverse escapism a source of high hilarity ."
neg,"in both the writing and cutting , it does not achieve the kind of dramatic unity that transports you . you end up simply admiring this bit or that , this performance or that ."
neg,this is more a case of 'sacre bleu ! ' than 'magnifique' .
pos,has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .
pos,"rabbit-proof fence will probably make you angry . but it will just as likely make you weep , and it will do so in a way that doesn't make you feel like a sucker ."
neg,"like those to rome , all roads in the banger sisters inevitably lead to a joke about hawn's breasts , which constantly threaten to upstage the woman sporting them ."
pos,"unexpected moments of authentically impulsive humor are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of emotional recovery ."
neg,consists of a plot and jokes done too often by people far more talented than ali 
neg,"adrift , bentley and hudson stare and sniffle , respectively , as ledger attempts , in vain , to prove that movie-star intensity can overcome bad hair design ."
neg,an unfortunate title for a film that has nothing endearing about it .
pos, . . . quite good at providing some good old fashioned spooks .
neg,"at a time when we've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture ."
pos," "" auto focus "" works as an unusual biopic and document of male swingers in the playboy er"
pos,murderous maids may well be the most comprehensive of these films and also strike closest to the truth .
neg,"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . ."
neg,has all the poignancy of a hallmark card and all the comedy of a gallagher stand-up act .
neg,the skills of a calculus major at m . i . t . are required to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ?
neg,"this is a throwaway , junk-food movie whose rap soundtrack was better tended to than the film itself ."
pos,i'm not generally a fan of vegetables but this batch is pretty cute .
neg,"some actors steal scenes . tom green just gives them a bad odor . this self-infatuated goofball is far from the only thing wrong with the clumsy comedy stealing harvard , but he's the most obvious one ."
neg,it takes talent to make a lifeless movie about the most heinous man who ever lived .
pos,succeeds only because bullock and grant were made to share the silver screen .
pos,"triumph of love is a very silly movie , but the silliness has a pedigree ."
pos,it's neither as romantic nor as thrilling as it should be . but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .
neg,earnest and heartfelt but undernourished and plodding .
